permutation,Agent2_1_SA_EndSpeed,Agent2_1_SA_DynamicDuration,Agent2_1_SA_DynamicShape,Agent2_1_SA_DynamicDelay,Agent2_1_TA_Times,Agent2_1_TA_Period,Agent2_1_TA_Offset,Agent2_1_Delay,Agent2_S,Agent2_Speed,Agent2_Type,Agent1_1_SA_DynamicShape,Agent1_1_SA_DynamicDuration,Agent1_1_SA_DynamicDelay,Agent1_1_SA_EndSpeed,Agent1_1_TA_DynamicShape,Agent1_1_TA_DynamicDuration,Agent1_1_TA_DynamicDelay,Agent1_1_Delay,Agent1_S,Agent1_Speed,Agent1_Type,Ego_S,Ego_Speed,Ego_Vehicle
01BL-KEEP_02FS-ZZ_1_125_of_243.txt,60.0,5.0,linear,1.0,3.0,0.6,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_235_of_243.txt,40.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_163_of_243.txt,40.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_136_of_243.txt,40.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_64_of_243.txt,40.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_138_of_243.txt,40.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_186_of_243.txt,50.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_109_of_243.txt,40.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_173_of_243.txt,40.0,5.0,linear,1.0,3.0,0.6,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_84_of_243.txt,40.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_80_of_243.txt,60.0,5.0,linear,1.0,3.0,0.6,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_196_of_243.txt,60.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_205_of_243.txt,60.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_221_of_243.txt,50.0,5.0,linear,1.0,3.0,0.6,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_72_of_243.txt,60.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_243_of_243.txt,60.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_129_of_243.txt,40.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_134_of_243.txt,60.0,5.0,linear,1.0,3.0,0.6,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_21_of_243.txt,40.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_16_of_243.txt,60.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_112_of_243.txt,50.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_15_of_243.txt,50.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_118_of_243.txt,40.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_201_of_243.txt,40.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_213_of_243.txt,50.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_93_of_243.txt,40.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_28_of_243.txt,40.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_38_of_243.txt,40.0,5.0,linear,1.0,3.0,0.6,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_171_of_243.txt,60.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_123_of_243.txt,50.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_26_of_243.txt,60.0,5.0,linear,1.0,3.0,0.6,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_1_of_243.txt,40.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_212_of_243.txt,50.0,5.0,linear,1.0,3.0,0.6,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_222_of_243.txt,50.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_172_of_243.txt,40.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_43_of_243.txt,60.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_127_of_243.txt,40.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_195_of_243.txt,50.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_67_of_243.txt,50.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_14_of_243.txt,50.0,5.0,linear,1.0,3.0,0.6,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_150_of_243.txt,50.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_19_of_243.txt,40.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_79_of_243.txt,60.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_232_of_243.txt,60.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_223_of_243.txt,60.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_168_of_243.txt,50.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_105_of_243.txt,50.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_234_of_243.txt,60.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_111_of_243.txt,40.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_9_of_243.txt,60.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_36_of_243.txt,60.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_47_of_243.txt,40.0,5.0,linear,1.0,3.0,0.6,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_237_of_243.txt,40.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_52_of_243.txt,60.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_46_of_243.txt,40.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_81_of_243.txt,60.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_175_of_243.txt,50.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_120_of_243.txt,40.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_35_of_243.txt,60.0,5.0,linear,1.0,3.0,0.6,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_54_of_243.txt,60.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_83_of_243.txt,40.0,5.0,linear,1.0,3.0,0.6,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_23_of_243.txt,50.0,5.0,linear,1.0,3.0,0.6,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_145_of_243.txt,40.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_69_of_243.txt,50.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_231_of_243.txt,50.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_142_of_243.txt,60.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_219_of_243.txt,40.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_96_of_243.txt,50.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_137_of_243.txt,40.0,5.0,linear,1.0,3.0,0.6,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_87_of_243.txt,50.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_167_of_243.txt,50.0,5.0,linear,1.0,3.0,0.6,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_51_of_243.txt,50.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_34_of_243.txt,60.0,5.0,linear,1.0,3.0,0.2,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_128_of_243.txt,40.0,5.0,linear,1.0,3.0,0.6,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_203_of_243.txt,50.0,5.0,linear,1.0,3.0,0.6,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_20_of_243.txt,40.0,5.0,linear,1.0,3.0,0.6,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_41_of_243.txt,50.0,5.0,linear,1.0,3.0,0.6,1.5,0.0,65.0,50.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_132_of_243.txt,50.0,5.0,linear,1.0,3.0,1.0,1.5,0.0,65.0,60.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02FS-ZZ_1_32_of_243.txt,50.0,5.0,linear,1.0,3.0,0.6,1.5,0.0,65.0,40.0,car_red,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
